pais,cidade,aeroporto,codigo,continente
africa_do_sul,cidade_do_cabo,cape_int,cpt,africa
africa_do_sul,johannerburg,johannerburg_hand,jnb,africa
alemanha,berlim,brandemburgo,ber,europa
alemanha,frankfurt,frankfurt_main_int,fra,europa
alemanha,stuttgart,stuttgart,str,europa
alemanha,hannover,hanover,haj,europa
alemanha,dortmund,dormund,dtm,europa
alemanha,hamburg,hamburg,ham,europa
alemanha,munich,franz_josef_strauss_munich_int,muc,europa
angola,luanda,4_de_fevereiro_apt,lad,africa
arabia_saudita,riyadh,king_khaled_int,ruh,asia
argentina,buenos_aires,jorge_newbery,aep,america_do_sul
argentina,buenos_aires,min_pistarini_int_arpt,eze,america_do_sul
argentina,rosario,fisherton,ros,america_do_sul
argentina,cordoba,pajas_blancas,cor,america_do_sul
argentina,bariloche,san_carlos_de_bariloche_int,brc,america_do_sul
aruba,aruba,rainha_beatrix,aua,america_central
australia,sydney,kingsfond_smith,syd,oceania
australia,melbourne,melbourne_int,mel,oceania
australia,brisbane,brisbane_int,bne,oceania
austria,viena,flughafen_wien_ag,vie,europa
belgica,bruxelas,aerop_bruxelas,bru,europa
bosnia,sarajevo,butmir_int,sjj,europa
bulgaria,sofia,vrazhdebna_int,sof,europa
cabo_verde,espargos,amilcar_cabral_int,sid,africa
canada,ottawa,ottawa_macdonald_cartier_int,yow,america_do_norte
canada,montreal,dorval_int,yul,america_do_norte
canada,toronto,pearson_int,yyz,america_do_norte
canada,vancouver,vancouver_int,yvr,america_do_norte
canada,quebec,quebec,yqb,america_do_norte
chile,santiago,arturo_merino_benitez,scl,america_do_sul
chile,puerto_montt,tepual,pmc,america_do_sul
china,pequim,capital_int,pek,asia
china,xangai,pu_dong_int,pvg,asia
china,hong_kong,hong_kong_int,hkg,asia
colombia,bogota,eldorado,bog,america_do_sul
coreia_do_sul,seul,incheon_int,icn,asia
croacia,zagreb,pleso_int,zag,europa
cuba,havana,jose_marti,hav,america_central
dinamarca,copenhague,copenhague_int,cph,europa
egito,cairo,cairo_int,cai,africa
em_arabes_u,dubai,dubai_int,dxb,asia
equador,guayaquil,simon_bolivar,gye,america_do_sul
equador,quito,mariscal_sucr,uio,america_do_sul
espanha,madri,aerop_barajas,mad,europa
espanha,barcelona,barcelona_int,bcn,europa
est_unidos,atlanta,william_b_hartsfield_int,atl,america_do_norte
est_unidos,boston,boston_logan_int,bos,america_do_norte
est_unidos,chicago,o_hare_int,ord,america_do_norte
est_unidos,dallas,dallas_fort_worth,dfw,america_do_norte
est_unidos,denver,denver_int,den,america_do_norte
est_unidos,detroit,detroit_city,dtw,america_do_norte
est_unidos,hawai_honolulu,honolulu_int,hnl,america_do_norte
est_unidos,houston,george_bush_int,iah,america_do_norte
est_unidos,las_vegas,mccarran_int,las,america_do_norte
est_unidos,los_angeles,los_angeles_int,lax,america_do_norte
est_unidos,miami_fl,miami_int,mia,america_do_norte
est_unidos,nova_iorque,john_f_kennedy_int,jfk,america_do_norte
est_unidos,nova_iorque,newark_liberty_new_jersey,ewr,america_do_norte
est_unidos,nova_iorque,la_guardia,lga,america_do_norte
est_unidos,orlando,orlando_int_mco,mco,america_do_norte
est_unidos,sao_francisco,sao_francisco_int,sfo,america_do_norte
est_unidos,seattle,tacoma_int,sea,america_do_norte
est_unidos,tampa_fl,tampa_int,tpa,america_do_norte
est_unidos,washington_dc,dulles_int,iad,america_do_norte
est_unidos,washington_dc,ronald_reagan,dca,america_do_norte
est_unidos,washington_dc,baltimore,bwi,america_do_norte
filipinas,manila,ninoy_aquino_int,mnl,asia
finlandia,helsinki,vantaa_int,hel,europa
franca,paris,charles_de_gaulle,cdg,europa
franca,paris,orly,ory,europa
grecia,atenas,eleftherios_venizelos_int,ath,europa
holanda,amsterdan,aerop_schiphol,ams,europa
hungria,budapeste,feruhegy_int,bud,europa
india,nova_deli,indira_ghandi_int,del,asia
indonesia,jakarta,soekarno_hatta_int,cgk,asia
inglaterra,londres,heathrow_int,lhr,europa
inglaterra,londres,gatwick_int,lgw,europa
irlanda,dublin,dublin_int,dub,europa
israel,tel_aviv,ben_gurion_int,tlv,asia
italia,milao,aerop_linate,lin,europa
italia,milao,malpensa,mxp,europa
italia,roma,fiumicino_int,fco,europa
italia,roma,ciampino,cia,europa
italia,veneza,marco_polo,vce,europa
japao,osaka,kansai_int,kix,asia
japao,toquio,toquio_int_narita,nrt,asia
japao,toronto,toquio_int,hnd,asia
japao,nagoya,chubu_int,ngo,asia
japao,osaka,osaka_int,itm,asia
libano,beirute,beirute_int,bey,asia
malasia,kuala_lumpur,kuala_lumpur_int,kul,asia
mexico,cid_do_mexico,juarez_int,mex,america_central
