valor,origem,data_saida,hora_saida,tempo_total,destino
2457,aeroporto_internacional_de_guarulhos_(gru),"domingo,_fevereiro,_25",17:40,,aeroporto_humberto_delgado
2457,aeroporto_internacional_de_guarulhos_(gru),"sabado,_fevereiro,_24",17:40,,aeroporto_humberto_delgado
2457,aeroporto_internacional_de_guarulhos_(gru),"terca_feira,_fevereiro,_20",17:40,,aeroporto_humberto_delgado
2457,aeroporto_internacional_de_guarulhos_(gru),"quarta_feira,_fevereiro,_21",17:40,,aeroporto_humberto_delgado
2457,aeroporto_internacional_de_guarulhos_(gru),"quinta_feira,_fevereiro,_22",17:40,,aeroporto_humberto_delgado
2526,aeroporto_internacional_de_guarulhos_(gru),"sexta_feira,_fevereiro,_16",01:05,,aeroporto_humberto_delgado
2642,aeroporto_internacional_de_guarulhos_(gru),"quinta_feira,_fevereiro,_15",23:15,12 h 45 min,aeroporto_humberto_delgado
2643,aeroporto_internacional_de_guarulhos_(gru),"terca_feira,_fevereiro,_13",17:40,,aeroporto_humberto_delgado
2643,aeroporto_internacional_de_guarulhos_(gru),"quarta_feira,_fevereiro,_14",17:40,,aeroporto_humberto_delgado
2643,aeroporto_internacional_de_guarulhos_(gru),"segunda_feira,_fevereiro,_19",17:40,,aeroporto_humberto_delgado
2643,aeroporto_internacional_de_guarulhos_(gru),"domingo,_fevereiro,_11",17:40,,aeroporto_humberto_delgado
2643,aeroporto_internacional_de_guarulhos_(gru),"domingo,_fevereiro,_18",17:40,,aeroporto_humberto_delgado
2773,aeroporto_internacional_de_guarulhos_(gru),"segunda_feira,_fevereiro,_12",23:15,,aeroporto_humberto_delgado
2829,aeroporto_internacional_de_guarulhos_(gru),"sabado,_fevereiro,_17",23:15,,aeroporto_humberto_delgado
3199,aeroporto_internacional_de_guarulhos_(gru),"sexta_feira,_fevereiro,_9",15:05,12 h 45 min,aeroporto_humberto_delgado
